external_id,created_at,author,followers,verified,source_type,likes,replies,retweets,quotes,views,lang,is_reply,query,url,text,engagement_json,raw_json
2071600766129967296,2026-06-29T14:24:45+00:00,kyalashish,89656,True,tweet,43,9,3,1,9349,en,False,(#BankNifty OR #Nifty50 OR #Nifty OR #FinNifty OR #Sensex) min_faves:25 lang:en since:2026-06-22 until:2026-06-30,https://x.com/kyalashish/status/2071600766129967296,"Waves Strategy Advisors, SEBI RA INH000001097, #Nifty 95% Traders Are Watching the Wrong Level, check why in below video https://t.co/CdVuH7sGta","{""score"": 43, ""replies"": 9, ""retweets"": 3, ""quotes"": 1, ""views"": 9349, ""bookmarks"": 6, ""upvote_ratio"": null}","{""channel"": ""x"", ""handle"": ""kyalashish"", ""name"": ""Ashish H Kyal, Author, CMT"", ""followers"": 89656, ""verified"": true, ""lang"": ""en"", ""is_reply"": false, ""conversation_id"": ""2071600766129967296"", ""query"": ""(#BankNifty OR #Nifty50 OR #Nifty OR #FinNifty OR #Sensex) min_faves:25 lang:en since:2026-06-22 until:2026-06-30""}"
2071599523990745151,2026-06-29T14:19:49+00:00,RAFA_AI,94912,False,tweet,93,84,68,0,1167,en,False,"(#FnO OR #optionstrading OR #optionselling OR #optionbuying OR ""option trading"") min_faves:15 lang:en since:2026-06-22 until:2026-06-30",https://x.com/RAFA_AI/status/2071599523990745151,"Dev Update: Options Guru App

⚡️Now that's a fine Tier page heading your way.
⚡️The new Chat Guru hero has been integrated.
⚡️Your Guru page aligns directly with the updated UI and application flow.

Each day we're inching closer. #optionstrading will never be the same again.

Stay tuned, we'll keep you updated.","{""score"": 93, ""replies"": 84, ""retweets"": 68, ""quotes"": 0, ""views"": 1167, ""bookmarks"": 1, ""upvote_ratio"": null}","{""channel"": ""x"", ""handle"": ""RAFA_AI"", ""name"": ""RAFA Finance"", ""followers"": 94912, ""verified"": false, ""lang"": ""en"", ""is_reply"": false, ""conversation_id"": ""2071599523990745151"", ""query"": ""(#FnO OR #optionstrading OR #optionselling OR #optionbuying OR \""option trading\"") min_faves:15 lang:en since:2026-06-22 until:2026-06-30""}"
2071588662291370377,2026-06-29T13:36:40+00:00,Abhishe79459720,5941,True,tweet,27,2,0,0,2660,en,False,(#BankNifty OR #Nifty50 OR #Nifty OR #FinNifty OR #Sensex) min_faves:25 lang:en since:2026-06-22 until:2026-06-30,https://x.com/Abhishe79459720/status/2071588662291370377,Activate #Nifty,"{""score"": 27, ""replies"": 2, ""retweets"": 0, ""quotes"": 0, ""views"": 2660, ""bookmarks"": 6, ""upvote_ratio"": null}","{""channel"": ""x"", ""handle"": ""Abhishe79459720"", ""name"": ""Abhishek pandey \ud83c\uddee\ud83c\uddf3\ud83d\udcb5\ud83d\udcc8\ud83d\udd30\ud83d\udc8e\ud83d\udc02"", ""followers"": 5941, ""verified"": true, ""lang"": ""en"", ""is_reply"": false, ""conversation_id"": ""2071588662291370377"", ""query"": ""(#BankNifty OR #Nifty50 OR #Nifty OR #FinNifty OR #Sensex) min_faves:25 lang:en since:2026-06-22 until:2026-06-30""}"
2071572859437375943,2026-06-29T12:33:52+00:00,TA_Purvesh,38988,True,tweet,43,4,0,0,9490,en,False,(#BankNifty OR #Nifty50 OR #Nifty OR #FinNifty OR #Sensex) min_faves:25 lang:en since:2026-06-22 until:2026-06-30,https://x.com/TA_Purvesh/status/2071572859437375943,"My options premium everyday after I buy it.😭

#nifty
#expirytrades
#herozero 

#XflowDash https://t.co/faHOjBkXwr","{""score"": 43, ""replies"": 4, ""retweets"": 0, ""quotes"": 0, ""views"": 9490, ""bookmarks"": 4, ""upvote_ratio"": null}","{""channel"": ""x"", ""handle"": ""TA_Purvesh"", ""name"": ""Pu\u20b9vesh | SEBI\u00ae\ufe0fRA"", ""followers"": 38988, ""verified"": true, ""lang"": ""en"", ""is_reply"": false, ""conversation_id"": ""2071572859437375943"", ""query"": ""(#BankNifty OR #Nifty50 OR #Nifty OR #FinNifty OR #Sensex) min_faves:25 lang:en since:2026-06-22 until:2026-06-30""}"
2071570330737627630,2026-06-29T12:23:49+00:00,Nithin0dha,919620,True,tweet,222,15,23,3,37770,en,False,"((zerodha OR groww OR dhan OR upstox OR angelone OR ""discount broker"") (nifty OR option OR fno OR trading OR brokerage)) min_faves:10 lang:en since:2026-06-22 until:2026-06-30",https://x.com/Nithin0dha/status/2071570330737627630,"Good investing outcomes come from doing a few boring things well.

For most people, investing boils down to a handful of things:
- Decide on the right asset allocation for your financial goal and time horizon. 
- Stick to low-cost index funds or ETFs instead of trying to pick stocks.
- Invest regularly, come rain or shine.
- Increase the amount you invest as your income grows.
- Rebalance your portfolio periodically.
- Stay invested.

That's really it.

The problem is that while this sounds simple, it isn't easy.

How much equity should you own? How much debt? Should you have some gold? Which funds should you pick? How often should you rebalance? And as your goals get closer, should your asset allocation change?

These are genuine questions, and they're not always easy to answer.

To make matters worse, there are thousands of mutual funds and ETFs to choose from. Even if you've already decided to stick to low-cost index funds, the sheer number of choices is maddening.

This complexity is one reason many people continue to park money in fixed deposits or insurance products, even when they know there may be better alternatives. Investing often feels intimidating before it even begins.

This is exactly the problem that lifecycle funds (or target-date funds, as they're called in some countries) are designed to solve.

You pick a fund that roughly matches the horizon of your financial goal. The fund takes care of everything else: choosing the asset allocation, rebalancing the portfolio, and gradually reducing equity exposure while increasing debt exposure as you move closer to your goal.

The logic is simple. The farther away you are from your goal, the more risk you can afford to take. The closer you get, the more important it becomes to preserve your capital. If you're retiring in a few years, for example, having your entire retirement corpus in equities probably doesn't make much sense because equity markets can be highly volatile over short periods.

Until recently, this category didn't exist in India. SEBI has now introduced lifecycle funds, and through @ZerodhaAMC, we're the first AMC to launch them.

The underlying portfolio is intentionally simple and low-cost. The equity allocation is through the Zerodha Nifty LargeMid 250 Index Fund, giving you exposure to India's top 250 large- and mid-cap companies. The debt allocation is through government securities, with allocations to gold and silver for diversification and arbitrage for tax efficiency.

If you're looking for a simple, low-maintenance way to invest towards a long-term goal, this is about as close as you can get to a one-fund solution.

The NFOs for our lifecycle funds are now open. Check out the link below to learn more.","{""score"": 222, ""replies"": 15, ""retweets"": 23, ""quotes"": 3, ""views"": 37770, ""bookmarks"": 104, ""upvote_ratio"": null}","{""channel"": ""x"", ""handle"": ""Nithin0dha"", ""name"": ""Nithin Kamath"", ""followers"": 919620, ""verified"": true, ""lang"": ""en"", ""is_reply"": false, ""conversation_id"": ""2071570330737627630"", ""query"": ""((zerodha OR groww OR dhan OR upstox OR angelone OR \""discount broker\"") (nifty OR option OR fno OR trading OR brokerage)) min_faves:10 lang:en since:2026-06-22 until:2026-06-30""}"
2071547856302084448,2026-06-29T10:54:31+00:00,CompoundingAmol,5826,True,tweet,43,0,0,0,1222,en,False,(#StockMarketIndia OR #IndianStockMarket OR #sharemarketindia OR #intraday OR #trading) min_faves:30 lang:en since:2026-06-22 until:2026-06-30,https://x.com/CompoundingAmol/status/2071547856302084448,"29-Jun-2026 | Daily Compounding Update
P&amp;L:69K🟢
Taxes &amp; Charges: ₹22.7K
Net Result: ₹43.6L🟢

Sensibull Verified P&amp;L Link: [https://t.co/GRrNWfMAXp]
#CompoundingWithAmol #TrustTheProcess #Trading #VerifiedBySensibull","{""score"": 43, ""replies"": 0, ""retweets"": 0, ""quotes"": 0, ""views"": 1222, ""bookmarks"": 0, ""upvote_ratio"": null}","{""channel"": ""x"", ""handle"": ""CompoundingAmol"", ""name"": ""Compounding with Amol \ud83c\uddee\ud83c\uddf3"", ""followers"": 5826, ""verified"": true, ""lang"": ""en"", ""is_reply"": false, ""conversation_id"": ""2071547856302084448"", ""query"": ""(#StockMarketIndia OR #IndianStockMarket OR #sharemarketindia OR #intraday OR #trading) min_faves:30 lang:en since:2026-06-22 until:2026-06-30""}"
2071537631435903163,2026-06-29T10:13:53+00:00,sbilyermin,950,True,tweet,40,3,3,0,759,en,False,(#StockMarketIndia OR #IndianStockMarket OR #sharemarketindia OR #intraday OR #trading) min_faves:30 lang:en since:2026-06-22 until:2026-06-30,https://x.com/sbilyermin/status/2071537631435903163,One my Biggest Secret in Trading #sbilyermin #trading https://t.co/oSPHQRlnzz,"{""score"": 40, ""replies"": 3, ""retweets"": 3, ""quotes"": 0, ""views"": 759, ""bookmarks"": 2, ""upvote_ratio"": null}","{""channel"": ""x"", ""handle"": ""sbilyermin"", ""name"": ""Bilyamin sulaiman"", ""followers"": 950, ""verified"": true, ""lang"": ""en"", ""is_reply"": false, ""conversation_id"": ""2071537631435903163"", ""query"": ""(#StockMarketIndia OR #IndianStockMarket OR #sharemarketindia OR #intraday OR #trading) min_faves:30 lang:en since:2026-06-22 until:2026-06-30""}"
2071535855005819118,2026-06-29T10:06:49+00:00,Ritesh_212,5481,False,tweet,46,2,1,0,4978,en,False,(#BankNifty OR #Nifty50 OR #Nifty OR #FinNifty OR #Sensex) min_faves:25 lang:en since:2026-06-22 until:2026-06-30,https://x.com/Ritesh_212/status/2071535855005819118,"#जयश्रीराम 🚩🚩🚩

आज का view done 
#nifty 
Time not Work 🙏🏻","{""score"": 46, ""replies"": 2, ""retweets"": 1, ""quotes"": 0, ""views"": 4978, ""bookmarks"": 1, ""upvote_ratio"": null}","{""channel"": ""x"", ""handle"": ""Ritesh_212"", ""name"": ""RRR ASTROTRADE"", ""followers"": 5481, ""verified"": false, ""lang"": ""en"", ""is_reply"": false, ""conversation_id"": ""2071535855005819118"", ""query"": ""(#BankNifty OR #Nifty50 OR #Nifty OR #FinNifty OR #Sensex) min_faves:25 lang:en since:2026-06-22 until:2026-06-30""}"
2071535780791791638,2026-06-29T10:06:32+00:00,TradeTeam_,21075,True,tweet,55,3,7,0,7915,en,False,(#StockMarketIndia OR #IndianStockMarket OR #sharemarketindia OR #intraday OR #trading) min_faves:30 lang:en since:2026-06-22 until:2026-06-30,https://x.com/TradeTeam_/status/2071535780791791638,"History is repeating itself

#StockMarketIndia #BreakoutStock #StocksToWatch #StocksToBuy #Midcap #SwingTrading #investing #Stocks https://t.co/eXiJSY4Di4","{""score"": 55, ""replies"": 3, ""retweets"": 7, ""quotes"": 0, ""views"": 7915, ""bookmarks"": 15, ""upvote_ratio"": null}","{""channel"": ""x"", ""handle"": ""TradeTeam_"", ""name"": ""Aman Sharma"", ""followers"": 21075, ""verified"": true, ""lang"": ""en"", ""is_reply"": false, ""conversation_id"": ""2071535780791791638"", ""query"": ""(#StockMarketIndia OR #IndianStockMarket OR #sharemarketindia OR #intraday OR #trading) min_faves:30 lang:en since:2026-06-22 until:2026-06-30""}"
2071535013175120364,2026-06-29T10:03:29+00:00,marketcallsHQ,25194,True,tweet,19,2,2,0,1378,en,False,"(#algotrading OR ""algo trading"" OR kiteconnect OR ""kite api"" OR openalgo OR ""dhan api"" OR ""trading api"") min_faves:5 lang:en since:2026-06-22 until:2026-06-30",https://x.com/marketcallsHQ/status/2071535013175120364,"OpenAlgo Charts - Progress Update

- Charting Done
- Trading Module Done (ATM Module)
- History + Websocket Integration Done
- Various type of price charts (Kagi, Step Line, Heikin Ashi, Renko, P&F etc ) done
- Smoother handling of charts
- Crosshairs, Gridlines done
- Exposing API to control from backend done

Still what is pending
- Edge Cases Fixing
- Websocket reconnects
- Go live with basic component

No Drawing tools, No Indicators in first release. It will be a pure component update.

Inspirations are Ninjatrader and Tradingview","{""score"": 19, ""replies"": 2, ""retweets"": 2, ""quotes"": 0, ""views"": 1378, ""bookmarks"": 3, ""upvote_ratio"": null}","{""channel"": ""x"", ""handle"": ""marketcallsHQ"", ""name"": ""Marketcalls"", ""followers"": 25194, ""verified"": true, ""lang"": ""en"", ""is_reply"": false, ""conversation_id"": ""2071535013175120364"", ""query"": ""(#algotrading OR \""algo trading\"" OR kiteconnect OR \""kite api\"" OR openalgo OR \""dhan api\"" OR \""trading api\"") min_faves:5 lang:en since:2026-06-22 until:2026-06-30""}"
